arrival_1,arrival_3,arrival_2,stop_id,current_time,bus_id
 4:27 PM, 4:57 PM, 5:27 PM,2671,2022-04-19 23:03:53.227,19
 4:35 PM, 5:05 PM, 5:35 PM,2676,2022-04-19 23:03:54.244,19
 4:29 P, 4:59 PM, 5:29 PM,2672,2022-04-19 23:03:56.703,19
 4:31 P, 5:01 PM, 5:31 P,2674,2022-04-19 23:04:01.003,19
 5:29 PM, 6:14 PM, 8:49 PM,1617,2022-04-20 00:01:29.075,10
 5:31 P, 6:16 PM, 8:52 PM,1616,2022-04-20 00:01:32.025,10
 5:32 PM, 6:17 PM, 8:55 PM,1615,2022-04-20 00:01:33.679,10
 5:36 PM, 6:21 PM, 8:58 PM,2448,2022-04-20 00:01:37.877,10
 5:28 P, 5:59 PM, 7:59 PM,2671,2022-04-20 00:01:40.627,15
arriving, 6:00 PM, 8:00 PM,2672,2022-04-20 00:01:39.495,15
 5:06 PM, 6:06 PM, 8:06 PM,2676,2022-04-20 00:01:55.027,15
 5:05 PM, 6:04 PM, 8:04 PM,2675,2022-04-20 00:01:56.302,15
 5:04 PM, 5:23 PM, 5:48 PM,1617,2022-04-20 00:01:57.274,18
 5:02 PM, 5:22 PM, 5:46 PM,2102,2022-04-20 00:01:56.753,18
 5:06 PM, 5:26 PM, 5:50 PM,1616,2022-04-20 00:02:01.987,18
 5:08 PM, 5:28 P, 5:52 PM,1615,2022-04-20 00:02:02.938,18
 5:04 PM, 8:03 PM,,2102,2022-04-20 00:02:03.500,20
 5:07 PM, 8:05 PM,,1616,2022-04-20 00:02:07.516,20
 5:09 PM, 8:07 PM,,1615,2022-04-20 00:02:08.836,20
 5:14 PM, 8:12 P,,2448,2022-04-20 00:02:10.415,20
 5:26 PM, 5:56 PM, 6:56 PM,2671,2022-04-20 00:02:13.430,19
 5:04 PM, 6:02 PM, 8:02 PM,2674,2022-04-20 00:02:43.717,15
 5:02 PM, 5:12 PM, 5:31 P,2448,2022-04-20 00:02:52.923,18
 5:06 PM, 8:04 PM,,1617,2022-04-20 00:02:54.208,20
 5:02 PM, 5:29 PM, 5:59 PM,2674,2022-04-20 00:03:07.007,19
 5:28 P, 5:58 PM, 6:58 PM,2672,2022-04-20 00:03:07.468,19
 5:05 PM, 5:32 PM, 6:02 PM,2675,2022-04-20 00:03:09.575,19
 5:08 PM, 5:36 PM, 6:06 PM,2676,2022-04-20 00:03:38.668,19
 7:15 PM, 8:55 PM,,1616,2022-04-20 01:00:33.861,10
 6:03 PM, 7:02 PM, 8:02 PM,2674,2022-04-20 01:00:43.929,15
 7:13 PM, 8:53 PM,,1617,2022-04-20 01:01:19.622,10
 7:17 PM, 8:57 PM,,1615,2022-04-20 01:01:25.569,10
 7:20 PM, 9:00 PM,,2448,2022-04-20 01:01:26.652,10
 6:01 PM, 7:00 PM, 8:00 PM,2672,2022-04-20 01:01:28.277,15
arriving, 6:59 PM, 7:59 PM,2671,2022-04-20 01:01:31.409,15
 6:04 PM, 7:03 PM, 8:03 PM,2675,2022-04-20 01:01:38.287,15
 6:07 PM, 7:05 PM, 8:05 PM,2676,2022-04-20 01:01:50.484,15
 6:32 PM, 6:55 PM, 7:10 PM,1615,2022-04-20 01:02:15.963,18
 8:07 PM,,,2102,2022-04-20 01:02:19.609,20
 8:09 PM,,,1617,2022-04-20 01:02:27.903,20
 6:27 P, 6:50 PM, 7:05 PM,2102,2022-04-20 01:03:03.163,18
 6:28 PM, 6:51 PM, 7:06 PM,1617,2022-04-20 01:03:04.569,18
 6:30 PM, 6:53 PM, 7:08 PM,1616,2022-04-20 01:03:05.905,18
 6:35 PM, 6:58 PM, 7:13 PM,2448,2022-04-20 01:03:06.717,18
 6:06 PM, 6:22 PM, 6:52 PM,2672,2022-04-20 01:03:13.858,19
 6:05 PM, 6:20 PM, 6:50 PM,2671,2022-04-20 01:03:13.303,19
 6:08 PM, 6:24 PM, 6:54 PM,2674,2022-04-20 01:03:16.638,19
 6:10 PM, 6:26 PM, 6:56 PM,2675,2022-04-20 01:03:17.924,19
 8:12 P,,,1616,2022-04-20 01:03:23.513,20
 8:15 PM,,,1615,2022-04-20 01:03:36.216,20
 8:20 PM,,,2448,2022-04-20 01:03:57.966,20
 6:04 PM, 6:13 PM, 6:29 PM,2676,2022-04-20 01:04:13.031,19
 7:27 AM, 8:27 AM,10:27 AM,1616,2022-04-20 14:00:34.387,10
 7:28 AM, 8:28 AM,10:28 AM,1615,2022-04-20 14:00:35.618,10
 7:32 AM, 8:32 AM,10:32 AM,2448,2022-04-20 14:00:36.336,10
 7:30 AM, 7:59 AM, 8:59 AM,2672,2022-04-20 14:00:38.375,15
 7:28 AM, 7:57 AM, 8:57 AM,2671,2022-04-20 14:00:43.151,15
 7:32 AM, 8:00 AM, 9:00 AM,2674,2022-04-20 14:00:42.095,15
 7:13 AM, 7:40 AM, 8:10 AM,2102,2022-04-20 14:00:47.922,18
 7:25 AM, 8:25 AM,10:25 AM,1617,2022-04-20 14:01:19.344,10
 7:19 AM, 7:46 AM, 8:16 AM,2448,2022-04-20 14:01:25.439,18
 7:33 AM, 8:02 AM, 9:02 AM,2675,2022-04-20 14:01:35.834,15
 7:34 AM, 8:04 AM, 9:04 AM,2676,2022-04-20 14:01:35.733,15
 7:14 AM, 7:41 AM, 8:11 AM,1617,2022-04-20 14:01:40.768,18
 8:05 AM, 1:01 PM, 8:01 PM,1617,2022-04-20 14:01:41.705,20
 7:15 AM, 7:42 AM, 8:12 AM,1616,2022-04-20 14:01:41.984,18
